Codigo Club;Provincia;Nombre Club
1001;Sevilla;SEVILLA F.C., S.A.D.
1002;Sevilla;REAL BETIS BALOMPIE S.A.D.
1003;Sevilla;CORIA C.F.
10038;Sevilla;PELOTEROS SIERRA SUR SEVILLA
1006;Sevilla;C.D. ALCALA
1009;Sevilla;A.D. SAN JOSE
10090;Sevilla;C.D. DEPORTE Y OCIO (ADYO)
10095;Sevilla;C.D. OLIMPIC DE TRIANA
1011;Sevilla;OSUNA BOTE CLUB
1012;Sevilla;C.D. EL PALMAR VEREDA REAL
10123;Sevilla;C.D. SAM-CAM DOS HERMANAS
10128;Sevilla;C.D. LOS PALACIOS C.F.
10181;Sevilla;C.D. ARAHAL BALOMPIÉ
10211;Sevilla;C.D. VALENCINA F.C.
10236;Sevilla;C.D. NEVALUZ ECIJA UNION DEPORTIVA
1024;Sevilla;TORREBLANCA C.F.
10257;Sevilla;CLUB ATLÉTICO CENTRAL
10273;Sevilla;C.F. FEMENINO CIUDAD DE DOS HERMANAS
10302;Sevilla;DOS HERMANAS CLUB DE FÚTBOL 1971
1037;Sevilla;CASTILLEJA C.F.
1038;Sevilla;ATLETICO VILLANUEVA
1044;Sevilla;LORA C.F.
1057;Sevilla;CAMPANA BALOMPIE
1066;Sevilla;C.D. CABECENSE
1073;Sevilla;C.D. ALTAIR
1078;Sevilla;TRIANA C.F.
1091;Sevilla;C.D. DEMO
1100;Sevilla;ATLETICO OLIVARENSE
1111;Sevilla;C.D. UTRERA
1139;Sevilla;C.D. AZNALCAZAR
1140;Sevilla;C.D. DE FUTBOL HERRERA
1141;Sevilla;C.M.D. SAN JUAN
1146;Sevilla;U.D. BELLAVISTA
1172;Sevilla;U.D. TOMARES
1179;Sevilla;U.D. RINCONADA
1189;Sevilla;CD. ASOC. DVA. NERVION
1300;Sevilla;LA BARRERA C.F.
1384;Sevilla;ESTRELLA SAN AGUSTIN
1395;Sevilla;C.D. PEDRERA
1425;Sevilla;SAN ROQUE BALOMPIE
1438;Sevilla;CAMINO VIEJO C.F.
1441;Sevilla;PEÑA BETICA ALCALA
1448;Sevilla;C.D. COLEGIO CLARET
1615;Sevilla;A.D. MOSQUEO
1633;Sevilla;U.D. LORETO
1875;Sevilla;C.D. ALCALA DE GUADAIRA F.S.
20002;Almería;C.D. ADRA TRAFALGAR 
20019;Almería;C.D. CENTRO DEPORTIVO ROQUETAS DE MAR
20023;Almería;CLUB DEPORTIVO MAAVI
20031;Almería;C.D. EDA CLUB DE FÚTBOL
20033;Almería;C.D. POLI EJIDO C.F.
20038;Almería;CD VICAR-VISTASOL FÚTBOL SALA
20051;Almería;C.D. ALMERIMAR UNIÓN DEPORTIVA
2024;Almería;A. D. PARADOR C. F.
2025;Almería;C.D. ESPAÑOL DEL ALQUIAN
2029;Almería;C.D. HUERCAL
2032;Almería;U.C.D. LA CAÑADA ATLETICO
2035;Almería;LAS NORIAS C.F.
2042;Almería;LOS MOLINOS C.F.
2049;Almería;C.D. MOJACAR
2055;Almería;U.D. ALMERIA S.A.D.
2092;Almería;C.D. VIATOR
2463;Almería;C.D. VERA
2481;Almería;C.D. UNIÓN DEPORTIVA PAVIA
2631;Almería;CLUB NATACION ALMERIA
2632;Almería;A.D. POLIDEPORTIVO AGUADULCE
2670;Almería;C.D. VILLA DE ALBOX
2743;Almería;U.D. CIUDAD DE ROQUETAS
2765;Almería;CLUB DE FÚTBOL ADRA
2789;Almería;C.D. VICAR CULTURAL
2803;Almería;C.D. COMARCA DE NÍJAR FÚTBOL SALA FEMENINO
2807;Almería;C.D. SAN URBANO LOS PARTIDORES
2809;Almería;C.D. U.D. COMARCA DE NIJAR
3001;Cádiz;CADIZ C.F., S.A.D.
3002;Cádiz;ALGECIRAS C.F., S.A.D.
3003;Cádiz;XEREZ C.D., S.A.D.
3004;Cádiz;RACING CLUB PORTUENSE
3006;Cádiz;REAL BALOMPEDICA LINENSE S.A.D.
3010;Cádiz;ARCOS C.F.
3015;Cádiz;CHICLANA C.F.
3020;Cádiz;C.D. GRUPO EMPRESA BAZAN  C.F.
3031;Cádiz;C.F. SAN JOSE OBRERO
3036;Cádiz;C.D. GUADALCACIN
3038;Cádiz;CHIPIONA C.F.
3039;Cádiz;C.D. BENALUP
3072;Cádiz;U.D. TESORILLO C.D.
3073;Cádiz;C.D. GUADIARO
3075;Cádiz;A.D. TARAGUILLA
3077;Cádiz;C.D. SAN ROQUE
3079;Cádiz;C.D. SAN BERNARDO
3080;Cádiz;U.D. LOS BARRIOS
3085;Cádiz;BARBATE C.F.
3160;Cádiz;C.D. ATLETICO SAN JOSE
3218;Cádiz;C.D. ISLEÑO SAN FERNANDO F.S.
3263;Cádiz;ATLETICO ZABAL
3277;Cádiz;CHICLANA IND. C.F.
3313;Cádiz;C.D. ISLA DE LEON FUTBOL BASE
3328;Cádiz;C.D. TRASMALLO F.C.
3392;Cádiz;JUVENTUD SANLUQUEÑA A.D.
3432;Cádiz;A.D. MARIANISTAS C.D.
3437;Cádiz;C.D. EL TORNO 2009
3452;Cádiz;C.D. CIUDAD DE CADIZ 
3557;Cádiz;BAHIA SAN FERNANDO C.D.
3559;Cádiz;C.D. ATLETICO PASTORES ALGECIRAS
3609;Cádiz;C.D. S.M. MIRADOR
3711;Cádiz;C.D. CÁDIZ FUTSAL
3751;Cádiz;C.D. SAN FERNANDO 1940
4001;Córdoba;CORDOBA C.F.
4003;Córdoba;C.D. POZOBLANCO
4004;Córdoba;MONTILLA C.F.
4009;Córdoba;PEÑARROYA PUEBLONUEVO C.F.
4013;Córdoba;C.D. MONTALBEÑO
4022;Córdoba;VILLA DEL RIO C.F.
4024;Córdoba;R.U.D. LA CARLOTA
4033;Córdoba;CLUB ATLETICO SAN LORENZO 
4038;Córdoba;SENECA C.F.
4052;Córdoba;FIGUEROA C.D.
4068;Córdoba;DON BOSCO C.F.
4077;Córdoba;C.D. CIUDAD JARDIN
4078;Córdoba;ATLETICO SENECA
4151;Córdoba;C.D. PEÑA LOS LEONES DEL ATHLETIC DE BILBAO DE POZOBLANCO
4185;Córdoba;C.D. ATLETICO ESPELEÑO
4196;Córdoba;C.D. APADEMAR
4229;Córdoba;C.D. APEDEM
4243;Córdoba;SALERM COSMETICS  PUENTE GENIL F.C.
4262;Córdoba;ATLETICO CORDOBES C.F.
4273;Córdoba;A.D. FUTBOL BASE DE BUJALANCE
4283;Córdoba;C.D. STADIUM
4290;Córdoba;C.D. ATLÉTICO MONTOREÑO
4299;Córdoba;C.D. DE FUTBOL JUANIN Y DIEGO
4313;Córdoba;A.D. DE FUTBOL BASE LA RAMBLA
4327;Córdoba;C.D. FUTBOL BASE POZOBLANCO
4353;Córdoba;C.D. CIUDAD DE LUCENA
4364;Córdoba;C.D. Y CULTURAL PALOMERA NARANJO
4372;Córdoba;C.D. GRANADAL FIGUEROA
4379;Córdoba;C.D. FUTBOL BASE EGABRENSE 
4380;Córdoba;C.D. DECORSENECA
4416;Córdoba;C.D. APAGA Y VAMONOS
4433;Córdoba;C.D. ASOC. DE FUTBOLISTAS ESPAÑOLES CORDOBA
4450;Córdoba;LUCECOR F.S.
4809;Córdoba;C.D. BOCA F.S. PRIEGO
